date,country,indicator,value
2000,SGP,NV.IND.MANF.ZS,25.86148604
2001,SGP,NV.IND.MANF.ZS,23.39469785
2002,SGP,NV.IND.MANF.ZS,24.73764032
2003,SGP,NV.IND.MANF.ZS,24.76541269
2004,SGP,NV.IND.MANF.ZS,27.1193676
2005,SGP,NV.IND.MANF.ZS,27.0767618
2006,SGP,NV.IND.MANF.ZS,26.57800599
2007,SGP,NV.IND.MANF.ZS,23.8226519
2008,SGP,NV.IND.MANF.ZS,20.58566497
2009,SGP,NV.IND.MANF.ZS,20.27337643
2010,SGP,NV.IND.MANF.ZS,20.77383303
2011,SGP,NV.IND.MANF.ZS,19.58255151
2012,SGP,NV.IND.MANF.ZS,19.11682198
2013,SGP,NV.IND.MANF.ZS,17.63840961
2014,SGP,NV.IND.MANF.ZS,17.99976889
2015,SGP,NV.IND.MANF.ZS,18.08932985
2016,SGP,NV.IND.MANF.ZS,17.44196131
2017,SGP,NV.IND.MANF.ZS,18.54584754
2018,SGP,NV.IND.MANF.ZS,20.71784577
2019,SGP,NV.IND.MANF.ZS,19.4040313
2020,SGP,NV.IND.MANF.ZS,19.65398453
2021,SGP,NV.IND.MANF.ZS,20.633068
2022,SGP,NV.IND.MANF.ZS,19.65553765
2023,SGP,NV.IND.MANF.ZS,16.97555944
2024,SGP,NV.IND.MANF.ZS,16.33270493
